Date,Adj Close ^KLSE,Close ^KLSE,High ^KLSE,Low ^KLSE,Open ^KLSE,Volume ^KLSE,date,close
2023-01-03,1473.989990234375,1473.989990234375,1488.5400390625,1473.800048828125,1488.5400390625,59804600,2023-01-03,1473.989990234375
2023-01-04,1469.550048828125,1469.550048828125,1476.1400146484375,1469.550048828125,1472.8499755859375,99239400,2023-01-04,1469.550048828125
2023-01-05,1480.9300537109375,1480.9300537109375,1481.010009765625,1471.9100341796875,1472.4599609375,114428100,2023-01-05,1480.9300537109375
2023-01-06,1480.550048828125,1480.550048828125,1482.3900146484375,1474.47998046875,1479.530029296875,73345700,2023-01-06,1480.550048828125
2023-01-09,1493.4200439453125,1493.4200439453125,1493.4200439453125,1483.9300537109375,1484.56005859375,107069100,2023-01-09,1493.4200439453125
2023-01-10,1485.1300048828125,1485.1300048828125,1491.219970703125,1480.3699951171875,1490.4000244140625,148942700,2023-01-10,1485.1300048828125
2023-01-11,1487.8699951171875,1487.8699951171875,1489.0,1484.2099609375,1487.0400390625,130154200,2023-01-11,1487.8699951171875
2023-01-12,1488.6600341796875,1488.6600341796875,1491.3499755859375,1486.1500244140625,1488.5699462890625,147707800,2023-01-12,1488.6600341796875
2023-01-13,1495.030029296875,1495.030029296875,1495.030029296875,1488.050048828125,1488.050048828125,120946200,2023-01-13,1495.030029296875
2023-01-16,1493.56005859375,1493.56005859375,1496.050048828125,1489.0,1494.81005859375,118165300,2023-01-16,1493.56005859375
2023-01-17,1499.3800048828125,1499.3800048828125,1499.3800048828125,1488.949951171875,1492.530029296875,109129200,2023-01-17,1499.3800048828125
2023-01-18,1495.5,1495.5,1496.6300048828125,1491.050048828125,1495.31005859375,112489800,2023-01-18,1495.5
2023-01-19,1496.219970703125,1496.219970703125,1501.7099609375,1493.4200439453125,1494.800048828125,132631400,2023-01-19,1496.219970703125
2023-01-20,1500.3299560546875,1500.3299560546875,1500.3299560546875,1495.800048828125,1496.8800048828125,106940500,2023-01-20,1500.3299560546875
2023-01-25,1499.449951171875,1499.449951171875,1501.8599853515625,1494.72998046875,1501.300048828125,83468600,2023-01-25,1499.449951171875
2023-01-26,1498.3900146484375,1498.3900146484375,1498.3900146484375,1494.030029296875,1497.4100341796875,94842000,2023-01-26,1498.3900146484375
2023-01-27,1497.550048828125,1497.550048828125,1500.9100341796875,1493.0699462890625,1499.969970703125,116233200,2023-01-27,1497.550048828125
2023-01-30,1499.3900146484375,1499.3900146484375,1500.949951171875,1494.1500244140625,1499.75,154968600,2023-01-30,1499.3900146484375
2023-01-31,1485.5,1485.5,1493.8900146484375,1485.5,1493.7900390625,227210500,2023-01-31,1485.5
2023-02-02,1489.800048828125,1489.800048828125,1493.2099609375,1485.9000244140625,1488.8199462890625,190424300,2023-02-02,1489.800048828125
2023-02-03,1490.469970703125,1490.469970703125,1493.3399658203125,1485.25,1490.56005859375,123555800,2023-02-03,1490.469970703125
2023-02-07,1476.3800048828125,1476.3800048828125,1487.989990234375,1471.7900390625,1487.8199462890625,157016900,2023-02-07,1476.3800048828125
2023-02-08,1470.75,1470.75,1479.949951171875,1469.010009765625,1476.3900146484375,143187400,2023-02-08,1470.75
2023-02-09,1464.6400146484375,1464.6400146484375,1471.300048828125,1463.75,1471.300048828125,133461000,2023-02-09,1464.6400146484375
2023-02-10,1474.5899658203125,1474.5899658203125,1476.030029296875,1463.31005859375,1465.050048828125,105719000,2023-02-10,1474.5899658203125
2023-02-13,1475.1700439453125,1475.1700439453125,1475.1700439453125,1469.260009765625,1474.719970703125,110899900,2023-02-13,1475.1700439453125
2023-02-14,1483.969970703125,1483.969970703125,1485.5799560546875,1476.06005859375,1477.1300048828125,117992500,2023-02-14,1483.969970703125
