source,category,url,title,date,body
malaysiakini_news,news,https://www.malaysiakini.com/news/768358,YOURSAY | Who's the purveyor of disunity?,,"YOURSAY | ‘ Mere talk and doing the opposite will further alienate you from the people.’
'Focus on unity', PM sidesteps questions on Rafizi
GreenFalcon2290: Unity means being one. So, what is the measure of that oneness?
Are jobs open to all? Are budgetary allocations made on the basis of population distribution? Are laws used uniformly across the different communities?
Are cabinet positions, where policies are determined, based on parliamentary seats, which directly reflect the wishes of the people?
On none of these four pillars upon which unity sits is there even a semblance of unity. So, what on earth is Prime Minister Anwar Ibrahim talking about?
Does he write his own speeches, or can he not tell what he is actually saying?
It's evident from just a glance at the comments here that there is plain derision and contempt for the fake tongue.
No doubt there will be the usual suspects here, trumpeting some facet and hailing the guy; best to just laugh, as we always do, at that comedy act played out in so many articles here by the same one or two.
Every time he opens his mouth, he descends deeper into the morass.
Thana55: Who is the purveyor of disunity? Who causes it and then wants rakyat to focus on unity? Blatant 3R (race, religion, royalty) violators are arrested and no remand, and worse, no further action.
Pig farms and Hindu temples come to focus when there are more critical bread-and-butter issues, such as chronic traffic congestion.
The latest “ sandiwara ” (drama) is MACC chief commissioner Azam Baki. It is clear as daylight that Azam should be relieved of his duties pending investigation by an independent panel, preferably headed by former chief justice Tengku Maimun Tuan Mat.
Walk the talk, Anwar, because no one believes you anymore. Do not assume that the rakyat is blur when you never walk the talk on critical issues.
Maybe you and your sluggish cabinet should spend some time in Sarawak under the tutelage of Sarawak Premier Abang Johari Openg.
Your performance pales in comparison to Abang Jo, who focuses on things that really matter to make the ordinary rakyat's lives better and more competitive.
TC: The one who initiated disunity and promoted different camps within his own party is calling for unity among Malaysians with no shame. This is really pathetic.
For me, as someone who has supported him ever since he was jailed by former prime minster Dr Mahatir Mohamad, I am ashamed of myself for being a blind believer.
MarioT: Your certain behaviour and statements do not give the impression that you are truly sincere about unity.
When you take sides in a dispute and are not fair and concern for both sides, it is seen to be an expression of bias.
Mere talk and doing the opposite will further alienate you from the people.
As it is, PKR is seen to have a very low rating , and its survival in the upcoming 16th general election is a big question mark.
Dr Peter Jebaseelan Jesudason: Former economy minister Rafizi Ramli should be a gentleman and resign from PKR.
Sniping from the sidelines is ineffective. Offering Malaysians a new radical paradigm is vital. The old system is a clear failure, which is why Rafizi needs to spearhead a new alternative.
Anwar is going nowhere, and so Rafizi should leave the party. Nurul Izzah Anwar is being groomed to take over, even though she does not have grassroots support. If she cannot win in Permatang Pauh, I think it is a given she will not win in any Malay majority seat.
She could win in non- Malay majority constituencies, but this is an admission that she does not have Malay support.
So far, Anwar is not addressing any of Rafizi's concerns and has not made conciliatory gestures to him, indicating he is effectively being purged from PKR.
Rafizi, DAP disciplinary chief Tony Pua, former Umno leader Khairy Jamaluddin, former Bangi MP Ong Kian Ming, and PKR’s Setiawangsa MP Nik Nazmi Nik Ahmad should form a new technocratic party.
They should invite the best brains and talent to join the party to provide Malaysians with an alternative, which is free of baggage and corruption, is an unashamedly secular party with clear aims to uplift the B40 and to recognise and nurture talent.
Racism and bigotry will be made illegal. Reforms will be outlined and delivered within an achievable timeline. The judiciary, police force, education system, MACC, health care system and the NEP equivalent are in dire need of reform.
BlueShark1548: Anwar has no choice but to sack Rafizi, following precedents set by other Malay leaders who want to continue to lead sampai mati (until death).
Get rid of the deputy who threatened their positions?
Rafizi saw the writing on the wall when, out of the shadows, Nurul Izzah challenged Rafizi and won the PKR deputy president post.
GanMu: Rafizi, you are doing a great job. Let Anwar go around the bush and make insinuating statements implying you.
Nothing and nobody can shake your guts and nerves because your thoughts, words and actions are all aligned in one straight line, and you can never be wrong. That is the power within you.
I’m sure you know that arrogance precedes a fall, and you know whom I am referring to.
The above is a selection of comments posted by Malaysiakini subscribers. Only paying subscribers can post comments. In the past year, Malaysiakinians have posted over 100,000 comments. Join the Malaysiakini community and help set the news agenda. Subscribe now .
These comments are compiled to reflect the views of Malaysiakini subscribers on matters of public interest. Malaysiakini does not intend to represent these views as fact.
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768359,Family secures lawyer for youth detained in Japan as third charge looms,,"The family of Faiq Zafran Jailani, a Malaysian detained in Toyama, Japan, is appointing a lawyer for him.
This is ahead of March 12, when a third charge will be brought against Faiq, said Malaysian Humanitarian Organisation (MHO) secretary-general Hishamuddin Hashim.
However, Hishamuddin said details...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768362,Wan Fayhsal withdraws appeal against Bersatu suspension,,"Machang MP Wan Ahmad Fayhsal Wan Ahmad Kamal has withdrawn his appeal for Bersatu to reconsider the suspension of his party membership.
In a statement on social media, Wan Fayhsal thanked the Bersatu board of appeal for its professionalism.
""However, like many former leaders...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768367,"Bersatu dismisses division dissolutions, insists all intact",,"Bersatu has dismissed announcements that several of its divisions have been dissolved, calling the allegations baseless and unconstitutional.
In a statement, its secretary-general Azmin Ali said the dissolution announcements are in direct conflict with several provisions of the party constitution and standing orders.
He stressed that the party's...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768371,'Dakwah' tents taken down for blocking footpaths - DBKL,,"The Kuala Lumpur City Hall (DBKL) has clarified that its officers removed Multiracial Reverted Muslims' (MRM) tents for violating regulations on obstructing pedestrian walkways.
Before the removal, DBKL officers had waited over 30 minutes at the location at Jalan Bukit Bintang for an explanation, but nobody came forward, it said in a statement today.
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768375,Bersatu crisis escalates as 12 divisions dissolve,,"Twelve Bersatu divisions have dissolved amid ongoing factional disputes within the party.
In Johor, 11 divisions dissolved as a group, namely Pontian, Simpang Renggam, Sembrong, Mersing, Johor Bahru, Pengerang, Labis, Tanjung Piai, Seri Gading, Ledang and Pulai, while the Dungun division in Terengganu followed separately.
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768377,Vatican says it will not participate in Gaza board of peace,,"The Vatican has decided not to join the Board of Peace, an international body primarily focused on post-conflict reconstruction in Gaza and broader global stability efforts, led by the US, Anadolu Ajansi reported.
Vatican News reported that Vatican secretary of state Cardinal Pietro Parolin announced on Sunday during a bilateral meeting with Italian officials at Palazzo Borromeo.
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768378,Amanah ready to capitalise on Bersatu turmoil in Johor - state leader,,"Johor Amanah is positioning itself to take advantage of Bersatu’s internal turmoil in the state, describing the situation as opening up political space ahead of the next state election.
When asked whether Bersatu’s instability could benefit his party, Johor Amanah vice-chairperson Zuhan Zain replied in the affirmative.
“It is seen as one of the...
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768384,Selamat berpuasa and blessed Lent,,"Malaysiakini wishes all Muslim readers a blessed Ramadan and extends warm Lenten greetings to our Christian supporters.
May this holy period of fasting bring peace, renewal, reflection, and a spirit of togetherness as we journey towards a better Malaysia.
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
malaysiakini_news,news,https://www.malaysiakini.com/news/768398,"Build temples, preach Islam as much as you want, just follow law - PM",,"Prime Minister Anwar Ibrahim has reminded the public that they are free to practise their faiths however they want, as long as it is in accordance with the law.
Speaking at a special event with the Home Ministry in Putrajaya today, Anwar also suggested that focusing on such issues would only lead to racial disharmony and distract from more pressing issues.
Please join the Malaysiakini WhatsApp Channel to get the latest news and views that matter."
