Date,Adj Close 1066.KL,Close 1066.KL,High 1066.KL,Low 1066.KL,Open 1066.KL,Volume 1066.KL,date,close
2023-01-03,4.442017078399658,5.679999828338623,5.78000020980835,5.659999847412109,5.78000020980835,3225300,2023-01-03,4.442017078399658
2023-01-04,4.4107346534729,5.639999866485596,5.730000019073486,5.619999885559082,5.699999809265137,3659200,2023-01-04,4.4107346534729
2023-01-05,4.4341959953308105,5.670000076293945,5.690000057220459,5.659999847412109,5.670000076293945,3727100,2023-01-05,4.4341959953308105
2023-01-06,4.449837684631348,5.690000057220459,5.699999809265137,5.639999866485596,5.670000076293945,905600,2023-01-06,4.449837684631348
2023-01-09,4.504580974578857,5.760000228881836,5.769999980926514,5.690000057220459,5.699999809265137,3134400,2023-01-09,4.504580974578857
2023-01-10,4.4732985496521,5.71999979019165,5.760000228881836,5.699999809265137,5.760000228881836,2061000,2023-01-10,4.4732985496521
2023-01-11,4.496760845184326,5.75,5.760000228881836,5.699999809265137,5.71999979019165,1586700,2023-01-11,4.496760845184326
2023-01-12,4.4732985496521,5.71999979019165,5.75,5.710000038146973,5.730000019073486,2897700,2023-01-12,4.4732985496521
2023-01-13,4.512401580810547,5.769999980926514,5.769999980926514,5.739999771118164,5.75,3419800,2023-01-13,4.512401580810547
2023-01-16,4.504580974578857,5.760000228881836,5.78000020980835,5.730000019073486,5.769999980926514,1512400,2023-01-16,4.504580974578857
2023-01-17,4.4732985496521,5.71999979019165,5.78000020980835,5.699999809265137,5.78000020980835,2895500,2023-01-17,4.4732985496521
2023-01-18,4.48893928527832,5.739999771118164,5.78000020980835,5.699999809265137,5.71999979019165,2543500,2023-01-18,4.48893928527832
2023-01-19,4.442017078399658,5.679999828338623,5.75,5.670000076293945,5.739999771118164,5286500,2023-01-19,4.442017078399658
2023-01-20,4.442017078399658,5.679999828338623,5.71999979019165,5.639999866485596,5.690000057220459,5380200,2023-01-20,4.442017078399658
2023-01-25,4.496760845184326,5.75,5.760000228881836,5.679999828338623,5.679999828338623,3611100,2023-01-25,4.496760845184326
2023-01-26,4.4732985496521,5.71999979019165,5.739999771118164,5.710000038146973,5.71999979019165,1206600,2023-01-26,4.4732985496521
2023-01-27,4.481119155883789,5.730000019073486,5.760000228881836,5.690000057220459,5.739999771118164,3084300,2023-01-27,4.481119155883789
2023-01-30,4.481119155883789,5.730000019073486,5.760000228881836,5.710000038146973,5.739999771118164,2843600,2023-01-30,4.481119155883789
2023-01-31,4.496760845184326,5.75,5.75,5.690000057220459,5.730000019073486,5214900,2023-01-31,4.496760845184326
2023-02-02,4.449837684631348,5.690000057220459,5.75,5.650000095367432,5.75,5834700,2023-02-02,4.449837684631348
2023-02-03,4.442017078399658,5.679999828338623,5.690000057220459,5.659999847412109,5.690000057220459,2977900,2023-02-03,4.442017078399658
2023-02-07,4.4263763427734375,5.659999847412109,5.690000057220459,5.630000114440918,5.650000095367432,4385800,2023-02-07,4.4263763427734375
2023-02-08,4.309069633483887,5.510000228881836,5.679999828338623,5.510000228881836,5.679999828338623,10601800,2023-02-08,4.309069633483887
2023-02-09,4.285608291625977,5.480000019073486,5.510000228881836,5.460000038146973,5.510000228881836,6625800,2023-02-09,4.285608291625977
2023-02-10,4.293428421020508,5.489999771118164,5.5,5.46999979019165,5.5,8925800,2023-02-10,4.293428421020508
2023-02-13,4.301249027252197,5.5,5.539999961853027,5.5,5.5,2939700,2023-02-13,4.301249027252197
2023-02-14,4.316890239715576,5.519999980926514,5.559999942779541,5.5,5.510000228881836,6373900,2023-02-14,4.316890239715576
2023-02-15,4.324710369110107,5.53000020980835,5.539999961853027,5.510000228881836,5.53000020980835,4517700,2023-02-15,4.324710369110107
2023-02-16,4.316890239715576,5.519999980926514,5.559999942779541,5.5,5.539999961853027,5278800,2023-02-16,4.316890239715576
2023-02-17,4.285608291625977,5.480000019073486,5.53000020980835,5.460000038146973,5.53000020980835,6374200,2023-02-17,4.285608291625977
2023-02-20,4.277787208557129,5.46999979019165,5.5,5.460000038146973,5.480000019073486,2486400,2023-02-20,4.277787208557129
2023-02-21,4.293428421020508,5.489999771118164,5.510000228881836,5.480000019073486,5.480000019073486,3452800,2023-02-21,4.293428421020508
2023-02-22,4.277787208557129,5.46999979019165,5.510000228881836,5.460000038146973,5.489999771118164,4039600,2023-02-22,4.277787208557129
2023-02-23,4.277787208557129,5.46999979019165,5.5,5.420000076293945,5.480000019073486,4200800,2023-02-23,4.277787208557129
2023-02-24,4.285608291625977,5.480000019073486,5.5,5.460000038146973,5.5,2094400,2023-02-24,4.285608291625977
2023-02-27,4.387274265289307,5.610000133514404,5.639999866485596,5.489999771118164,5.489999771118164,6818800,2023-02-27,4.387274265289307
2023-02-28,4.442017078399658,5.679999828338623,5.690000057220459,5.639999866485596,5.639999866485596,7742000,2023-02-28,4.442017078399658
2023-03-01,4.457657814025879,5.699999809265137,5.730000019073486,5.670000076293945,5.679999828338623,3536800,2023-03-01,4.457657814025879
2023-03-02,4.465478420257568,5.710000038146973,5.730000019073486,5.690000057220459,5.71999979019165,2288300,2023-03-02,4.465478420257568
2023-03-03,4.4732985496521,5.71999979019165,5.739999771118164,5.690000057220459,5.71999979019165,2526200,2023-03-03,4.4732985496521
2023-03-06,4.418555736541748,5.650000095367432,5.71999979019165,5.639999866485596,5.71999979019165,2077000,2023-03-06,4.418555736541748
2023-03-07,4.481119155883789,5.730000019073486,5.730000019073486,5.650000095367432,5.650000095367432,2268400,2023-03-07,4.481119155883789
2023-03-08,4.449837684631348,5.690000057220459,5.699999809265137,5.659999847412109,5.690000057220459,1985500,2023-03-08,4.449837684631348
2023-03-09,4.4732985496521,5.71999979019165,5.71999979019165,5.630000114440918,5.699999809265137,2710100,2023-03-09,4.4732985496521
2023-03-10,4.418555736541748,5.650000095367432,5.690000057220459,5.639999866485596,5.690000057220459,3369400,2023-03-10,4.418555736541748
2023-03-13,4.395094394683838,5.619999885559082,5.639999866485596,5.570000171661377,5.610000133514404,3662400,2023-03-13,4.395094394683838
2023-03-14,4.285608291625977,5.480000019073486,5.619999885559082,5.449999809265137,5.619999885559082,6987900,2023-03-14,4.285608291625977
2023-03-15,4.324710369110107,5.53000020980835,5.579999923706055,5.510000228881836,5.53000020980835,3179900,2023-03-15,4.324710369110107
2023-03-16,4.293428421020508,5.489999771118164,5.53000020980835,5.460000038146973,5.53000020980835,4437200,2023-03-16,4.293428421020508
2023-03-17,4.301249027252197,5.5,5.550000190734863,5.5,5.5,6076200,2023-03-17,4.301249027252197
2023-03-20,4.301249027252197,5.5,5.519999980926514,5.489999771118164,5.519999980926514,6524600,2023-03-20,4.301249027252197
2023-03-21,4.316890239715576,5.519999980926514,5.579999923706055,5.510000228881836,5.550000190734863,5192500,2023-03-21,4.316890239715576
2023-03-22,4.316890239715576,5.519999980926514,5.559999942779541,5.5,5.53000020980835,8695200,2023-03-22,4.316890239715576
2023-03-23,4.301249027252197,5.5,5.539999961853027,5.46999979019165,5.519999980926514,7192700,2023-03-23,4.301249027252197
2023-03-24,4.254326343536377,5.440000057220459,5.510000228881836,5.440000057220459,5.5,7076500,2023-03-24,4.254326343536377
2023-03-27,4.26214599609375,5.449999809265137,5.46999979019165,5.440000057220459,5.440000057220459,5966100,2023-03-27,4.26214599609375
2023-03-28,4.309069633483887,5.510000228881836,5.519999980926514,5.449999809265137,5.480000019073486,3569700,2023-03-28,4.309069633483887
2023-03-29,4.332530975341797,5.539999961853027,5.570000171661377,5.5,5.53000020980835,2982200,2023-03-29,4.332530975341797
2023-03-30,4.355992317199707,5.570000171661377,5.590000152587891,5.519999980926514,5.559999942779541,2750500,2023-03-30,4.355992317199707
2023-03-31,4.363812446594238,5.579999923706055,5.599999904632568,5.570000171661377,5.570000171661377,4371200,2023-03-31,4.363812446594238
2023-04-03,4.3716325759887695,5.590000152587891,5.630000114440918,5.590000152587891,5.599999904632568,1425300,2023-04-03,4.3716325759887695
2023-04-04,4.379452705383301,5.599999904632568,5.650000095367432,5.590000152587891,5.639999866485596,4274600,2023-04-04,4.379452705383301
2023-04-05,4.387274265289307,5.610000133514404,5.630000114440918,5.599999904632568,5.619999885559082,2594800,2023-04-05,4.387274265289307
2023-04-06,4.395094394683838,5.619999885559082,5.619999885559082,5.579999923706055,5.619999885559082,6712200,2023-04-06,4.395094394683838
2023-04-07,4.4341959953308105,5.670000076293945,5.670000076293945,5.610000133514404,5.639999866485596,6450200,2023-04-07,4.4341959953308105
2023-04-10,4.457657814025879,5.699999809265137,5.71999979019165,5.670000076293945,5.670000076293945,5648400,2023-04-10,4.457657814025879
2023-04-11,4.465478420257568,5.710000038146973,5.739999771118164,5.699999809265137,5.71999979019165,3249800,2023-04-11,4.465478420257568
2023-04-12,4.457657814025879,5.699999809265137,5.739999771118164,5.699999809265137,5.71999979019165,4372600,2023-04-12,4.457657814025879
2023-04-13,4.496760845184326,5.75,5.760000228881836,5.710000038146973,5.710000038146973,5291400,2023-04-13,4.496760845184326
