Date,Adj Close 1066.KL,Close 1066.KL,High 1066.KL,Low 1066.KL,Open 1066.KL,Volume 1066.KL,date,close
2023-04-14,4.488583564758301,5.489999771118164,5.550000190734863,5.460000038146973,5.510000228881836,5685100,2023-04-14,4.488583564758301
2023-04-17,4.53764009475708,5.550000190734863,5.570000171661377,5.5,5.510000228881836,5668400,2023-04-17,4.53764009475708
2023-04-18,4.52128791809082,5.53000020980835,5.559999942779541,5.510000228881836,5.559999942779541,3022500,2023-04-18,4.52128791809082
2023-04-19,4.488583564758301,5.489999771118164,5.539999961853027,5.480000019073486,5.539999961853027,4032100,2023-04-19,4.488583564758301
2023-04-20,4.504936218261719,5.510000228881836,5.53000020980835,5.480000019073486,5.489999771118164,4435300,2023-04-20,4.504936218261719
2023-04-25,4.513112545013428,5.519999980926514,5.539999961853027,5.5,5.510000228881836,2718300,2023-04-25,4.513112545013428
2023-04-26,4.480408668518066,5.480000019073486,5.519999980926514,5.46999979019165,5.519999980926514,4280200,2023-04-26,4.480408668518066
2023-04-27,4.513112545013428,5.519999980926514,5.53000020980835,5.489999771118164,5.5,2169200,2023-04-27,4.513112545013428
2023-04-28,4.480408668518066,5.480000019073486,5.53000020980835,5.460000038146973,5.53000020980835,3786700,2023-04-28,4.480408668518066
2023-05-02,4.513112545013428,5.519999980926514,5.53000020980835,5.480000019073486,5.480000019073486,2943600,2023-05-02,4.513112545013428
2023-05-03,4.513112545013428,5.519999980926514,5.539999961853027,5.460000038146973,5.5,5959200,2023-05-03,4.513112545013428
2023-05-05,4.504936218261719,5.510000228881836,5.550000190734863,5.489999771118164,5.519999980926514,4684600,2023-05-05,4.504936218261719
2023-05-08,4.553991794586182,5.570000171661377,5.579999923706055,5.519999980926514,5.53000020980835,3655800,2023-05-08,4.553991794586182
2023-05-09,4.53764009475708,5.550000190734863,5.570000171661377,5.519999980926514,5.570000171661377,1620800,2023-05-09,4.53764009475708
2023-05-10,4.496760368347168,5.5,5.579999923706055,5.489999771118164,5.570000171661377,3928500,2023-05-10,4.496760368347168
2023-05-11,4.504936218261719,5.510000228881836,5.570000171661377,5.5,5.510000228881836,4620000,2023-05-11,4.504936218261719
2023-05-12,4.480408668518066,5.480000019073486,5.519999980926514,5.46999979019165,5.5,9263400,2023-05-12,4.480408668518066
2023-05-15,4.496760368347168,5.5,5.519999980926514,5.46999979019165,5.489999771118164,3346300,2023-05-15,4.496760368347168
2023-05-16,4.504936218261719,5.510000228881836,5.539999961853027,5.5,5.5,1857000,2023-05-16,4.504936218261719
2023-05-17,4.504936218261719,5.510000228881836,5.53000020980835,5.489999771118164,5.53000020980835,2676800,2023-05-17,4.504936218261719
2023-05-18,4.496760368347168,5.5,5.519999980926514,5.489999771118164,5.510000228881836,1883300,2023-05-18,4.496760368347168
2023-05-19,4.496760368347168,5.5,5.519999980926514,5.489999771118164,5.5,3467100,2023-05-19,4.496760368347168
2023-05-22,4.496760368347168,5.5,5.519999980926514,5.489999771118164,5.510000228881836,4239700,2023-05-22,4.496760368347168
2023-05-23,4.504936218261719,5.510000228881836,5.53000020980835,5.489999771118164,5.519999980926514,3557700,2023-05-23,4.504936218261719
2023-05-24,4.464056968688965,5.460000038146973,5.5,5.449999809265137,5.5,5047900,2023-05-24,4.464056968688965
2023-05-25,4.464056968688965,5.460000038146973,5.489999771118164,5.460000038146973,5.480000019073486,1795900,2023-05-25,4.464056968688965
2023-05-26,4.464056968688965,5.460000038146973,5.489999771118164,5.449999809265137,5.460000038146973,2955100,2023-05-26,4.464056968688965
2023-05-29,4.447704315185547,5.440000057220459,5.5,5.409999847412109,5.489999771118164,4017000,2023-05-29,4.447704315185547
2023-05-30,4.4313530921936035,5.420000076293945,5.440000057220459,5.409999847412109,5.440000057220459,6355800,2023-05-30,4.4313530921936035
2023-05-31,4.374120712280273,5.349999904632568,5.449999809265137,5.349999904632568,5.420000076293945,14421800,2023-05-31,4.374120712280273
2023-06-01,4.35776948928833,5.329999923706055,5.389999866485596,5.329999923706055,5.360000133514404,4359500,2023-06-01,4.35776948928833
2023-06-02,4.34141731262207,5.309999942779541,5.369999885559082,5.289999961853027,5.360000133514404,4011400,2023-06-02,4.34141731262207
2023-06-06,4.34141731262207,5.309999942779541,5.340000152587891,5.289999961853027,5.329999923706055,3976800,2023-06-06,4.34141731262207
2023-06-07,4.333241939544678,5.300000190734863,5.329999923706055,5.300000190734863,5.309999942779541,6149700,2023-06-07,4.333241939544678
2023-06-08,4.35776948928833,5.329999923706055,5.349999904632568,5.300000190734863,5.309999942779541,3268000,2023-06-08,4.35776948928833
2023-06-09,4.3250651359558105,5.289999961853027,5.360000133514404,5.289999961853027,5.329999923706055,4718700,2023-06-09,4.3250651359558105
2023-06-12,4.333241939544678,5.300000190734863,5.329999923706055,5.300000190734863,5.300000190734863,5552200,2023-06-12,4.333241939544678
2023-06-13,4.34141731262207,5.309999942779541,5.329999923706055,5.309999942779541,5.320000171661377,2395200,2023-06-13,4.34141731262207
2023-06-14,4.35776948928833,5.329999923706055,5.369999885559082,5.320000171661377,5.320000171661377,3050100,2023-06-14,4.35776948928833
2023-06-15,4.35776948928833,5.329999923706055,5.360000133514404,5.309999942779541,5.340000152587891,2599900,2023-06-15,4.35776948928833
2023-06-16,4.374120712280273,5.349999904632568,5.349999904632568,5.320000171661377,5.329999923706055,6434100,2023-06-16,4.374120712280273
2023-06-19,4.374120712280273,5.349999904632568,5.380000114440918,5.329999923706055,5.360000133514404,4412000,2023-06-19,4.374120712280273
2023-06-20,4.406824588775635,5.389999866485596,5.429999828338623,5.340000152587891,5.369999885559082,5741000,2023-06-20,4.406824588775635
2023-06-21,4.406824588775635,5.389999866485596,5.409999847412109,5.340000152587891,5.409999847412109,8477100,2023-06-21,4.406824588775635
2023-06-22,4.423176288604736,5.409999847412109,5.449999809265137,5.380000114440918,5.380000114440918,3293600,2023-06-22,4.423176288604736
2023-06-23,4.415000915527344,5.400000095367432,5.420000076293945,5.389999866485596,5.409999847412109,1654100,2023-06-23,4.415000915527344
2023-06-26,4.423176288604736,5.409999847412109,5.440000057220459,5.400000095367432,5.400000095367432,2068800,2023-06-26,4.423176288604736
2023-06-27,4.447704315185547,5.440000057220459,5.440000057220459,5.409999847412109,5.420000076293945,2171800,2023-06-27,4.447704315185547
2023-06-28,4.4313530921936035,5.420000076293945,5.440000057220459,5.400000095367432,5.440000057220459,4103300,2023-06-28,4.4313530921936035
2023-06-30,4.439528942108154,5.429999828338623,5.449999809265137,5.389999866485596,5.429999828338623,3424200,2023-06-30,4.439528942108154
2023-07-03,4.4558796882629395,5.449999809265137,5.449999809265137,5.420000076293945,5.429999828338623,2260400,2023-07-03,4.4558796882629395
2023-07-04,4.464056968688965,5.460000038146973,5.460000038146973,5.400000095367432,5.440000057220459,661400,2023-07-04,4.464056968688965
2023-07-05,4.4313530921936035,5.420000076293945,5.460000038146973,5.420000076293945,5.449999809265137,2580500,2023-07-05,4.4313530921936035
2023-07-06,4.4313530921936035,5.420000076293945,5.449999809265137,5.409999847412109,5.429999828338623,2164100,2023-07-06,4.4313530921936035
2023-07-07,4.415000915527344,5.400000095367432,5.440000057220459,5.400000095367432,5.440000057220459,9380900,2023-07-07,4.415000915527344
2023-07-10,4.4313530921936035,5.420000076293945,5.440000057220459,5.400000095367432,5.400000095367432,8174600,2023-07-10,4.4313530921936035
2023-07-11,4.447704315185547,5.440000057220459,5.440000057220459,5.420000076293945,5.420000076293945,6302200,2023-07-11,4.447704315185547
2023-07-12,4.4558796882629395,5.449999809265137,5.46999979019165,5.440000057220459,5.449999809265137,2509100,2023-07-12,4.4558796882629395
2023-07-13,4.480408668518066,5.480000019073486,5.510000228881836,5.449999809265137,5.449999809265137,3483500,2023-07-13,4.480408668518066
2023-07-14,4.529463768005371,5.539999961853027,5.570000171661377,5.480000019073486,5.480000019073486,6307300,2023-07-14,4.529463768005371
2023-07-17,4.53764009475708,5.550000190734863,5.559999942779541,5.519999980926514,5.550000190734863,4574900,2023-07-17,4.53764009475708
2023-07-18,4.496760368347168,5.5,5.550000190734863,5.480000019073486,5.550000190734863,3477700,2023-07-18,4.496760368347168
2023-07-20,4.496760368347168,5.5,5.559999942779541,5.5,5.510000228881836,3530000,2023-07-20,4.496760368347168
2023-07-21,4.553991794586182,5.570000171661377,5.570000171661377,5.5,5.5,1563000,2023-07-21,4.553991794586182
2023-07-24,4.53764009475708,5.550000190734863,5.570000171661377,5.539999961853027,5.550000190734863,3974000,2023-07-24,4.53764009475708
2023-07-25,4.619399070739746,5.650000095367432,5.679999828338623,5.559999942779541,5.559999942779541,6762400,2023-07-25,4.619399070739746
2023-07-26,4.635751247406006,5.670000076293945,5.690000057220459,5.650000095367432,5.650000095367432,3426100,2023-07-26,4.635751247406006
2023-07-27,4.643927097320557,5.679999828338623,5.699999809265137,5.650000095367432,5.659999847412109,2231400,2023-07-27,4.643927097320557
2023-07-28,4.627574920654297,5.659999847412109,5.679999828338623,5.639999866485596,5.659999847412109,3458800,2023-07-28,4.627574920654297
2023-07-31,4.652102947235107,5.690000057220459,5.71999979019165,5.659999847412109,5.659999847412109,2902900,2023-07-31,4.652102947235107
2023-08-01,4.643927097320557,5.679999828338623,5.699999809265137,5.659999847412109,5.690000057220459,2469900,2023-08-01,4.643927097320557
2023-08-02,4.619399070739746,5.650000095367432,5.670000076293945,5.619999885559082,5.659999847412109,3132000,2023-08-02,4.619399070739746
2023-08-03,4.578519344329834,5.599999904632568,5.650000095367432,5.570000171661377,5.630000114440918,1454400,2023-08-03,4.578519344329834
2023-08-04,4.6030473709106445,5.630000114440918,5.650000095367432,5.599999904632568,5.599999904632568,1201900,2023-08-04,4.6030473709106445
2023-08-07,4.619399070739746,5.650000095367432,5.650000095367432,5.570000171661377,5.599999904632568,1781000,2023-08-07,4.619399070739746
2023-08-08,4.643927097320557,5.679999828338623,5.699999809265137,5.630000114440918,5.650000095367432,2322900,2023-08-08,4.643927097320557
2023-08-09,4.668455123901367,5.710000038146973,5.710000038146973,5.659999847412109,5.670000076293945,3958500,2023-08-09,4.668455123901367
2023-08-10,4.619399070739746,5.650000095367432,5.699999809265137,5.619999885559082,5.679999828338623,4079700,2023-08-10,4.619399070739746
2023-08-11,4.619399070739746,5.650000095367432,5.690000057220459,5.590000152587891,5.650000095367432,3920800,2023-08-11,4.619399070739746
2023-08-14,4.6602783203125,5.699999809265137,5.699999809265137,5.639999866485596,5.650000095367432,2897400,2023-08-14,4.6602783203125
2023-08-15,4.684806823730469,5.730000019073486,5.78000020980835,5.690000057220459,5.699999809265137,6727600,2023-08-15,4.684806823730469
2023-08-16,4.7011590003967285,5.75,5.75,5.710000038146973,5.71999979019165,2592600,2023-08-16,4.7011590003967285
2023-08-17,4.635751247406006,5.670000076293945,5.75,5.659999847412109,5.739999771118164,4185600,2023-08-17,4.635751247406006
2023-08-18,4.619399070739746,5.650000095367432,5.690000057220459,5.639999866485596,5.670000076293945,2613700,2023-08-18,4.619399070739746
2023-08-21,4.652102947235107,5.690000057220459,5.739999771118164,5.650000095367432,5.650000095367432,4453600,2023-08-21,4.652102947235107
2023-08-22,4.6602783203125,5.699999809265137,5.71999979019165,5.670000076293945,5.71999979019165,3234500,2023-08-22,4.6602783203125
2023-08-23,4.619399070739746,5.650000095367432,5.699999809265137,5.650000095367432,5.699999809265137,2516700,2023-08-23,4.619399070739746
2023-08-24,4.627574920654297,5.659999847412109,5.710000038146973,5.630000114440918,5.650000095367432,2421200,2023-08-24,4.627574920654297
2023-08-25,4.611222743988037,5.639999866485596,5.690000057220459,5.619999885559082,5.650000095367432,2403500,2023-08-25,4.611222743988037
2023-08-28,4.619399070739746,5.650000095367432,5.670000076293945,5.619999885559082,5.639999866485596,2938900,2023-08-28,4.619399070739746
2023-08-29,4.6602783203125,5.699999809265137,5.71999979019165,5.639999866485596,5.650000095367432,2566500,2023-08-29,4.6602783203125
2023-08-30,4.586695194244385,5.610000133514404,5.739999771118164,5.599999904632568,5.71999979019165,10292100,2023-08-30,4.586695194244385
2023-09-01,4.619399070739746,5.650000095367432,5.670000076293945,5.590000152587891,5.639999866485596,7494900,2023-09-01,4.619399070739746
2023-09-04,4.643927097320557,5.679999828338623,5.730000019073486,5.659999847412109,5.659999847412109,4693800,2023-09-04,4.643927097320557
2023-09-05,4.627574920654297,5.659999847412109,5.699999809265137,5.619999885559082,5.690000057220459,3365500,2023-09-05,4.627574920654297
2023-09-06,4.635751247406006,5.670000076293945,5.690000057220459,5.630000114440918,5.650000095367432,2850700,2023-09-06,4.635751247406006
2023-09-07,4.643927097320557,5.679999828338623,5.699999809265137,5.659999847412109,5.670000076293945,2716800,2023-09-07,4.643927097320557
2023-09-08,4.627574920654297,5.659999847412109,5.690000057220459,5.630000114440918,5.679999828338623,4873400,2023-09-08,4.627574920654297
2023-09-11,4.627574920654297,5.659999847412109,5.699999809265137,5.650000095367432,5.699999809265137,1498000,2023-09-11,4.627574920654297
2023-09-12,4.643927097320557,5.679999828338623,5.690000057220459,5.619999885559082,5.670000076293945,4600100,2023-09-12,4.643927097320557
2023-09-13,4.619399070739746,5.650000095367432,5.679999828338623,5.639999866485596,5.670000076293945,4501900,2023-09-13,4.619399070739746
2023-09-14,4.652102947235107,5.690000057220459,5.710000038146973,5.670000076293945,5.679999828338623,2785000,2023-09-14,4.652102947235107
2023-09-15,4.594871520996094,5.619999885559082,5.710000038146973,5.619999885559082,5.690000057220459,14620500,2023-09-15,4.594871520996094
2023-09-18,4.627574920654297,5.659999847412109,5.690000057220459,5.639999866485596,5.639999866485596,2908600,2023-09-18,4.627574920654297
2023-09-19,4.643927097320557,5.679999828338623,5.690000057220459,5.639999866485596,5.679999828338623,4119900,2023-09-19,4.643927097320557
2023-09-20,4.643927097320557,5.679999828338623,5.699999809265137,5.659999847412109,5.679999828338623,6288900,2023-09-20,4.643927097320557
2023-09-21,4.643927097320557,5.679999828338623,5.690000057220459,5.659999847412109,5.679999828338623,4848800,2023-09-21,4.643927097320557
2023-09-22,4.635751247406006,5.670000076293945,5.690000057220459,5.659999847412109,5.679999828338623,2414000,2023-09-22,4.635751247406006
2023-09-25,4.627574920654297,5.659999847412109,5.699999809265137,5.650000095367432,5.679999828338623,5421500,2023-09-25,4.627574920654297
2023-09-26,4.627574920654297,5.659999847412109,5.679999828338623,5.639999866485596,5.659999847412109,6256500,2023-09-26,4.627574920654297
2023-09-27,4.619176864624023,5.5,5.53000020980835,5.460000038146973,5.510000228881836,3964100,2023-09-27,4.619176864624023
2023-09-29,4.560387134552002,5.429999828338623,5.510000228881836,5.429999828338623,5.5,12899500,2023-09-29,4.560387134552002
2023-10-02,4.535191535949707,5.400000095367432,5.449999809265137,5.389999866485596,5.440000057220459,5318900,2023-10-02,4.535191535949707
2023-10-03,4.55198860168457,5.420000076293945,5.440000057220459,5.380000114440918,5.400000095367432,3929100,2023-10-03,4.55198860168457
2023-10-04,4.568785667419434,5.440000057220459,5.449999809265137,5.400000095367432,5.429999828338623,6654000,2023-10-04,4.568785667419434
2023-10-05,4.585582733154297,5.460000038146973,5.5,5.420000076293945,5.460000038146973,7767100,2023-10-05,4.585582733154297
2023-10-06,4.619176864624023,5.5,5.5,5.46999979019165,5.480000019073486,3367800,2023-10-06,4.619176864624023
2023-10-09,4.619176864624023,5.5,5.5,5.460000038146973,5.489999771118164,3329600,2023-10-09,4.619176864624023
2023-10-10,4.661169528961182,5.550000190734863,5.559999942779541,5.510000228881836,5.510000228881836,3933800,2023-10-10,4.661169528961182
2023-10-11,4.677966594696045,5.570000171661377,5.579999923706055,5.539999961853027,5.559999942779541,4487500,2023-10-11,4.677966594696045
2023-10-12,4.69476318359375,5.590000152587891,5.610000133514404,5.579999923706055,5.579999923706055,4345100,2023-10-12,4.69476318359375
2023-10-13,4.69476318359375,5.590000152587891,5.610000133514404,5.570000171661377,5.579999923706055,5399700,2023-10-13,4.69476318359375
2023-10-16,4.69476318359375,5.590000152587891,5.599999904632568,5.519999980926514,5.590000152587891,5735100,2023-10-16,4.69476318359375
2023-10-17,4.69476318359375,5.590000152587891,5.599999904632568,5.559999942779541,5.590000152587891,4769900,2023-10-17,4.69476318359375
2023-10-18,4.69476318359375,5.590000152587891,5.610000133514404,5.559999942779541,5.570000171661377,5747500,2023-10-18,4.69476318359375
2023-10-19,4.69476318359375,5.590000152587891,5.599999904632568,5.570000171661377,5.590000152587891,3618200,2023-10-19,4.69476318359375
2023-10-20,4.703161716461182,5.599999904632568,5.599999904632568,5.550000190734863,5.579999923706055,4200700,2023-10-20,4.703161716461182
2023-10-23,4.677966594696045,5.570000171661377,5.599999904632568,5.550000190734863,5.599999904632568,2161100,2023-10-23,4.677966594696045
2023-10-24,4.677966594696045,5.570000171661377,5.579999923706055,5.519999980926514,5.570000171661377,2965500,2023-10-24,4.677966594696045
2023-10-25,4.686364650726318,5.579999923706055,5.599999904632568,5.570000171661377,5.579999923706055,3755900,2023-10-25,4.686364650726318
2023-10-26,4.703161716461182,5.599999904632568,5.610000133514404,5.570000171661377,5.579999923706055,3493600,2023-10-26,4.703161716461182
2023-10-27,4.686364650726318,5.579999923706055,5.599999904632568,5.570000171661377,5.599999904632568,3743600,2023-10-27,4.686364650726318
2023-10-30,4.677966594696045,5.570000171661377,5.599999904632568,5.559999942779541,5.579999923706055,1091100,2023-10-30,4.677966594696045
2023-10-31,4.686364650726318,5.579999923706055,5.599999904632568,5.559999942779541,5.570000171661377,2309200,2023-10-31,4.686364650726318
2023-11-01,4.686364650726318,5.579999923706055,5.599999904632568,5.559999942779541,5.579999923706055,1281400,2023-11-01,4.686364650726318
2023-11-02,4.69476318359375,5.590000152587891,5.599999904632568,5.570000171661377,5.579999923706055,2674000,2023-11-02,4.69476318359375
2023-11-03,4.703161716461182,5.599999904632568,5.630000114440918,5.579999923706055,5.599999904632568,2256400,2023-11-03,4.703161716461182
2023-11-06,4.73675537109375,5.639999866485596,5.650000095367432,5.619999885559082,5.619999885559082,4316800,2023-11-06,4.73675537109375
2023-11-07,4.74515438079834,5.650000095367432,5.650000095367432,5.630000114440918,5.650000095367432,1671100,2023-11-07,4.74515438079834
2023-11-08,4.728356838226318,5.630000114440918,5.650000095367432,5.619999885559082,5.639999866485596,569300,2023-11-08,4.728356838226318
2023-11-09,4.728356838226318,5.630000114440918,5.630000114440918,5.610000133514404,5.630000114440918,2720600,2023-11-09,4.728356838226318
2023-11-10,4.73675537109375,5.639999866485596,5.639999866485596,5.610000133514404,5.630000114440918,1028600,2023-11-10,4.73675537109375
2023-11-14,4.711559772491455,5.610000133514404,5.650000095367432,5.610000133514404,5.639999866485596,1366400,2023-11-14,4.711559772491455
2023-11-15,4.73675537109375,5.639999866485596,5.639999866485596,5.610000133514404,5.630000114440918,2280900,2023-11-15,4.73675537109375
